StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SAS_1,SAS_2,SAS_3,SAS_4,SAS_5,SAS_6,SAS_7,SAS_8,SAS_9,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,SAS_15,SAS_16,SAS_17,SAS_18,SAS_19,SAS_20,SAS_21,SAS_22,SAS_23
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_eqCGI25agduLL5r,,,,,48.4992981,-123.4002991,test,,5,1,5,1,1,1,4,4,5,2,5,5,1,2,3,3,2,2,5,1,5,3,1
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_1AIwKMT5UTTwo1D,,,,,48.4992981,-123.4002991,test,,1,4,5,4,3,2,2,5,4,5,2,1,4,2,1,3,3,2,4,4,3,3,2
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_9ttMJRjdiuAa3rf,,,,,48.4992981,-123.4002991,test,,5,3,1,4,5,5,2,5,2,3,5,5,5,5,4,3,5,4,1,1,4,1,2
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_eLQvlbeN6fz0w4d,,,,,48.4992981,-123.4002991,test,,3,3,5,1,3,3,4,3,1,4,4,1,4,3,4,5,2,5,1,2,5,5,4
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_7Q9F2YVhBcSvMa1,,,,,48.4992981,-123.4002991,test,,4,1,4,5,2,5,1,2,3,2,5,3,4,4,3,2,3,4,3,2,1,5,1
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_cSx2HzSBhtHMQYJ,,,,,48.4992981,-123.4002991,test,,1,4,1,1,2,3,1,3,1,5,1,1,5,3,2,2,3,4,3,4,1,1,3
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_cvCpgAly3GGZMbP,,,,,48.4992981,-123.4002991,test,,3,4,1,3,4,4,2,2,4,3,2,5,1,2,5,5,2,5,5,2,4,5,3
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_7X1nnpv4Ca9TceF,,,,,48.4992981,-123.4002991,test,,1,5,3,1,4,5,5,3,4,3,2,1,2,5,2,4,1,4,3,5,2,4,5
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_4PJzjma65OnUaJn,,,,,48.4992981,-123.4002991,test,,1,4,5,2,1,3,5,3,5,1,5,3,5,2,4,5,5,1,2,2,2,1,5
2019-07-13 11:34,2019-07-13 11:34,2,,100,0,1,2019-07-13 11:34,R_5vXr14OJXyaZGip,,,,,48.4992981,-123.4002991,test,,3,5,5,4,3,3,3,5,3,2,3,3,4,3,2,5,3,1,1,3,4,4,4
