StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sesimw1,sesimw2,sesimw3,sesimw4,sesimw5,sesimw6,sesimw7,sesimw8,sesimw9,sesimw10,sesimw11,sesimw12,sesimw13,sesimw14,sesimw15,sesimw16,sesimw17,sesimw18,sesimw19,sesimw20,sesimw21,sesimw22,sesimw23,sesimw24,sesimw25,sesimw26,sesimw27,sesimw28,sesimw29,sesimw30
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_cMVwXkAefPrU81D,,,,,48.4992981,-123.4002991,test,,2,4,3,3,3,2,1,4,4,3,4,4,4,2,4,1,3,2,4,2,3,4,1,1,1,4,1,1,2,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_5t07Uq7M1DMf1EV,,,,,48.4992981,-123.4002991,test,,3,4,4,2,4,3,2,1,3,1,3,2,1,4,1,4,4,3,3,3,4,4,2,4,3,2,2,1,1,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,1,1,2019-07-12 9:16,R_dnlJEd3Cv1ZIgHr,,,,,48.4992981,-123.4002991,test,,3,1,2,3,4,1,3,1,2,1,1,2,4,4,1,1,1,3,1,3,2,4,3,4,2,4,3,3,4,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_1ZaP68U2Th64Utf,,,,,48.4992981,-123.4002991,test,,4,2,2,1,4,3,3,4,2,3,3,1,2,4,3,3,4,2,1,2,2,2,4,1,3,4,3,2,3,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_ewZUY3yrcLhHIUZ,,,,,48.4992981,-123.4002991,test,,4,3,4,4,3,4,2,1,3,3,1,1,2,1,3,1,1,2,2,3,3,3,2,1,1,2,2,3,3,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_9Gg2KFORskgqTAh,,,,,48.4992981,-123.4002991,test,,2,1,2,2,3,3,3,3,2,1,2,1,3,1,4,4,3,3,1,2,3,1,1,2,3,1,1,3,4,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_5cm6D8KBt930PKl,,,,,48.4992981,-123.4002991,test,,1,3,4,1,2,1,4,2,1,4,3,3,1,2,1,1,3,4,2,2,2,1,1,4,3,3,4,3,1,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_0H3QUmMXy8Pv5at,,,,,48.4992981,-123.4002991,test,,3,4,4,2,4,3,3,1,4,2,1,3,3,4,2,1,1,1,2,3,1,2,1,2,3,2,1,2,3,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_3w6rkVlLKinh2h7,,,,,48.4992981,-123.4002991,test,,4,2,3,1,3,3,4,4,1,2,3,3,4,1,3,3,1,1,1,3,1,2,4,2,4,1,3,4,4,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_37UqeVuFRH8MSnb,,,,,48.4992981,-123.4002991,test,,3,3,1,3,2,1,1,1,1,2,3,4,1,4,1,3,1,4,3,3,1,2,2,4,1,2,4,1,2,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_2gJp0fVLA5WB3Pn,,,,,48.4992981,-123.4002991,test,,4,1,4,1,1,4,2,3,1,3,2,4,1,4,3,1,2,4,4,2,4,2,4,3,2,4,4,3,3,1
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_0UtmeYsbyB3FbTf,,,,,48.4992981,-123.4002991,test,,3,2,2,2,4,3,2,4,3,2,2,1,1,4,3,4,2,2,3,2,3,4,3,3,4,2,2,3,2,1
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_9Zhyj2TBWNMqKt7,,,,,48.4992981,-123.4002991,test,,4,1,3,3,2,2,3,1,4,2,1,4,2,3,1,2,4,4,3,1,4,2,1,2,1,4,4,3,3,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_5mNwraKTeRW6oDP,,,,,48.4992981,-123.4002991,test,,1,2,1,3,3,4,4,4,2,3,3,2,4,3,4,3,2,3,3,1,1,2,1,4,1,2,2,3,2,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_9AoQMbyJCoWB3yl,,,,,48.4992981,-123.4002991,test,,1,1,4,2,4,4,4,1,4,3,2,4,2,2,1,3,2,3,3,2,2,3,2,3,1,4,3,4,2,1
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_3O5Nt3pbrAWcYIZ,,,,,48.4992981,-123.4002991,test,,1,2,2,4,4,3,4,4,3,3,3,3,4,1,3,2,4,1,2,2,4,2,3,4,2,3,4,3,2,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_cPkmq7Bvz5nqntP,,,,,48.4992981,-123.4002991,test,,3,4,4,4,3,4,2,4,2,4,3,1,4,1,1,4,2,3,3,4,1,4,3,1,4,3,3,4,1,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_eDHB6CCmLEFqSHj,,,,,48.4992981,-123.4002991,test,,3,3,3,3,1,3,4,1,3,3,2,3,4,3,3,3,1,1,1,3,3,1,4,3,1,1,3,2,1,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_cAUdhXru0G0RSol,,,,,48.4992981,-123.4002991,test,,1,3,2,4,3,4,2,1,2,3,2,3,3,3,1,3,4,3,3,3,3,2,4,3,1,4,4,2,3,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_5hCphedh10peC1v,,,,,48.4992981,-123.4002991,test,,1,1,2,1,3,4,2,2,2,4,4,1,2,1,2,2,4,2,3,2,4,3,1,4,4,4,3,4,3,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_23KUjjt6f9GDSJf,,,,,48.4992981,-123.4002991,test,,2,1,2,3,3,2,4,3,2,4,1,2,3,3,4,1,1,2,2,4,2,4,2,4,4,2,4,3,4,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_6y7uM2PFO6EfysZ,,,,,48.4992981,-123.4002991,test,,3,2,3,3,3,3,1,3,4,1,4,2,2,4,4,3,1,2,1,4,2,4,4,2,4,2,1,1,3,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_cUBW7OpELFg3FDT,,,,,48.4992981,-123.4002991,test,,3,1,2,3,4,2,1,2,1,4,2,1,2,2,4,1,2,4,3,4,1,3,3,1,2,3,4,4,3,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_0JqzE8e4hWpRoHz,,,,,48.4992981,-123.4002991,test,,1,1,1,4,3,1,4,2,2,2,3,4,4,2,3,4,1,4,3,2,4,1,1,3,3,1,3,3,2,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,1,1,2019-07-12 9:16,R_1ZCo6wVHqkycSbj,,,,,48.4992981,-123.4002991,test,,2,2,1,4,3,1,2,2,3,4,1,3,2,1,2,3,1,3,1,4,3,4,3,4,3,4,2,4,2,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_cSd1fQxcn0y1Pdb,,,,,48.4992981,-123.4002991,test,,2,4,4,4,1,2,4,3,2,3,3,2,1,2,3,1,4,3,2,3,1,3,1,4,3,4,3,4,4,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_6R2VlQHcfmJ2sM5,,,,,48.4992981,-123.4002991,test,,4,4,1,4,1,3,4,3,3,2,4,2,2,2,4,2,1,2,1,1,2,4,4,3,4,2,3,3,1,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_0cjb4cujQUxfAln,,,,,48.4992981,-123.4002991,test,,1,3,3,4,4,3,2,2,3,3,2,1,2,1,3,1,2,2,2,2,4,2,1,2,2,4,4,3,3,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_ekyvO0TeYH2dNrL,,,,,48.4992981,-123.4002991,test,,4,2,3,4,1,1,4,1,4,2,4,4,3,2,4,1,3,2,1,4,4,3,2,2,3,2,3,2,4,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_2hLImuYU7YRkESN,,,,,48.4992981,-123.4002991,test,,3,1,2,2,3,2,3,1,1,1,1,3,3,1,4,3,3,2,2,3,2,1,4,4,2,2,2,3,4,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_1T80vvcnPZSCvmR,,,,,48.4992981,-123.4002991,test,,3,4,4,3,1,2,1,4,2,2,4,4,3,3,3,2,1,3,2,4,1,3,2,1,3,3,3,4,4,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_1H2p7IHcHbakvZP,,,,,48.4992981,-123.4002991,test,,3,4,1,2,3,1,3,3,4,2,2,3,4,2,4,4,4,4,4,3,4,2,4,2,4,4,3,1,4,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_dg3zp05WJRipWgl,,,,,48.4992981,-123.4002991,test,,4,2,1,1,3,2,1,2,4,3,1,1,2,1,3,3,4,3,4,4,1,3,4,1,1,2,3,4,1,2
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_7QIy4BSu4z7EYBv,,,,,48.4992981,-123.4002991,test,,4,4,3,1,1,1,4,1,3,1,2,4,3,3,1,1,4,2,3,1,1,3,3,3,3,4,2,1,1,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_bkCpd79UlQgKFwx,,,,,48.4992981,-123.4002991,test,,3,2,1,3,2,4,4,3,3,3,1,2,4,1,3,4,1,3,2,4,3,1,2,1,1,1,1,3,3,1
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_cNo90MnjEE1g2bj,,,,,48.4992981,-123.4002991,test,,4,2,3,2,3,2,1,4,4,3,4,2,1,1,1,2,3,4,1,3,2,4,4,1,4,1,2,3,3,4
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_8qeqA3bIjAbtmHb,,,,,48.4992981,-123.4002991,test,,1,2,3,4,2,2,2,4,4,3,3,3,2,3,4,1,4,3,1,4,2,1,2,2,4,1,3,3,4,3
2019-07-12 9:16,2019-07-12 9:16,2,,100,0,1,2019-07-12 9:16,R_bsFMcj4vGnjfpeR,,,,,48.4992981,-123.4002991,test,,3,3,3,2,2,3,3,2,1,4,1,1,3,1,2,3,4,4,2,1,4,2,3,4,1,4,2,3,3,1
