StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SCC_P_1,SCC_P_2,SCC_P_3,SCC_P_4,SCC_P_5,SCC_P_6,SCC_P_7,SCC_P_8,SCC_P_9,SCC_P_10,SCC_P_11,SCC_P_12,SCC_P_13,SCC_P_14,SCC_P_15,SCC_P_16,SCC_P_17,SCC_P_18,SCC_P_19,SCC_P_20,SCC_P_21,SCC_P_22,SCC_P_23,SCC_P_24,SCC_P_25,SCC_P_26,SCC_P_27,SCC_P_28,SCC_P_29,SCC_P_30,SCC_P_31,SCC_P_32,SCC_P_33,SCC_P_34,SCC_P_35,SCC_P_36,SCC_P_37,SCC_P_38,SCC_P_39,SCC_P_40,SCC_P_41,SCC_P_42,SCC_P_43,SCC_P_44,SCC_P_45,SCC_P_46,SCC_P_47,SCC_P_48,SCC_P_49,SCC_P_50,SCC_P_51,SCC_P_52,SCC_P_53,SCC_P_54,SCC_P_55,SCC_P_56,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q4_45,Q4_46,Q4_47,Q4_48,Q4_49,Q4_50,Q4_51,Q4_52,Q4_53,Q4_54,Q4_55,Q4_56,Q5
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_5jOqYRgpHbJfHsF,,,,,48.41520691,-123.3655014,test,,5,2,3,2,6,2,2,6,6,1,6,6,3,0,6,6,0,5,0,4,0,4,6,1,5,0,6,6,4,3,3,2,3,6,4,2,5,6,5,3,1,1,6,4,0,2,1,0,3,6,1,6,4,5,4,6,Luctus orci leo ultricies eu erat? Tempus tincidunt morbi. Donec nunc at convallis.,0,0,2,4,2,2,4,0,2,0,0,1,5,0,0,0,1,1,0,2,0,4,0,2,6,1,3,1,1,5,2,5,3,5,4,3,5,0,0,4,3,2,4,3,5,5,3,1,3,3,1,1,3,0,6,5,"Venenatis vitae ipsum tempor arcu urna gravida. Laoreet purus, at vel? Lectus sit."
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_8AJ038vZItP3zCt,,,,,48.41520691,-123.3655014,test,,1,3,6,5,0,1,0,4,5,2,5,1,6,1,4,4,3,0,1,2,3,0,4,3,6,4,0,4,6,0,1,1,3,6,4,4,0,6,4,5,5,4,6,5,1,5,0,0,1,0,6,3,1,6,5,4,Ut erat eget! Facilisi facilisis pellentesque eu culpa. Dolor. Turpis felis risus augue.,5,1,3,3,6,4,6,0,3,2,2,1,3,2,0,3,4,5,4,1,1,5,2,3,4,4,1,3,3,0,5,1,5,0,1,2,3,6,0,1,0,6,5,6,6,3,0,4,1,3,1,3,4,3,6,6,Nec ac tellus per pharetra aenean vulputate laoreet maecenas in eleifend.
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_7NBHNt9iPrYbxv7,,,,,48.41520691,-123.3655014,test,,5,5,3,5,6,1,3,1,0,1,0,2,4,2,4,6,3,4,0,4,6,5,6,6,5,0,0,1,0,4,1,2,0,2,4,4,1,4,3,0,1,3,6,6,0,3,3,0,0,2,1,5,6,1,5,5,"Auctor luctus. Ut amet quam, scelerisque ipsum enim cursus tempor.",0,2,5,6,6,4,6,2,5,3,0,0,0,2,0,1,3,0,1,4,3,2,1,1,0,2,0,2,5,4,0,2,6,5,2,4,6,2,6,6,5,6,0,5,4,1,4,3,0,6,2,5,1,6,4,3,"Aliquet nonummy blandit rhoncus, risus arcu integer. Elementum wisi ut nullam scelerisque."
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_9pDk87zsGT0Kjqd,,,,,48.41520691,-123.3655014,test,,0,6,5,1,6,3,2,6,3,0,5,2,6,1,2,1,3,6,6,6,1,3,5,6,2,0,5,3,4,1,4,5,3,5,5,5,0,3,4,3,4,5,2,0,1,6,3,2,4,1,6,0,2,6,5,2,Gravida facilisis placerat. Aliquam orci magnis mattis dolor porttitor egestas natoque mauris vulputate arcu.,1,2,3,6,4,5,5,2,4,6,6,3,4,0,3,2,5,5,4,0,5,5,6,1,1,3,2,0,3,3,3,2,6,0,5,3,5,0,4,5,3,6,5,0,2,0,4,6,3,2,4,6,1,4,1,2,Donec porttitor pretium convallis porta sagittis gravida vestibulum gravida sagittis neque.
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_6WsopK4Jtu1xRNr,,,,,48.41520691,-123.3655014,test,,5,5,1,5,4,2,2,1,4,5,1,5,3,6,4,3,2,1,3,3,3,4,4,1,5,6,3,0,2,4,0,0,2,3,0,2,6,2,6,1,1,4,6,0,4,5,2,6,3,4,5,1,5,6,4,4,Malesuada. Nonummy? Mauris rutrum dolorem dui! Vel? Nibh. Sollicitudin rutrum rhoncus duis quis.,4,3,2,4,4,3,4,5,4,5,6,4,3,5,1,4,3,6,2,2,6,1,0,0,6,5,2,5,0,0,3,2,1,3,1,6,5,0,3,1,6,0,2,2,6,4,4,5,0,6,5,4,6,0,0,6,Sed! Eros justo ante dignissim commodo nunc posuere temporibus? Quam ullamcorper augue platea dignissim eros.
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_4HKWfgphILhKgdL,,,,,48.41520691,-123.3655014,test,,3,3,3,6,4,3,1,2,3,2,5,4,0,5,1,6,4,4,4,1,1,0,3,5,6,0,2,5,0,6,4,2,0,6,0,6,2,0,5,5,6,0,0,3,3,2,3,3,0,0,5,0,6,6,1,2,Vivamus pellentesque! Tempor lectus purus accusamus primis sapien platea lorem molestie.,6,0,2,4,4,0,5,0,2,2,1,4,6,4,6,3,3,1,5,5,0,3,1,6,4,0,3,6,4,5,6,4,0,6,0,3,5,5,6,3,5,2,6,0,0,3,2,6,3,6,0,1,4,1,6,6,Venenatis nullam porttitor culpa sapien! Lorem gravida nullam luctus vitae.
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_6gmuay7WqXNVmJL,,,,,48.41520691,-123.3655014,test,,4,4,1,5,6,1,4,2,3,2,4,0,1,0,1,1,3,3,2,6,4,2,5,2,4,4,2,3,5,3,3,4,4,5,5,4,2,6,1,3,4,0,3,3,0,6,4,5,5,3,1,6,0,5,3,0,"Sit orci id lacus. Eu amet accusamus euismod, facilisis dui leo.",1,6,6,4,3,3,6,1,6,1,4,1,2,0,4,2,3,1,2,6,2,5,3,4,1,1,5,2,5,2,0,0,2,3,0,3,1,1,5,5,4,1,4,1,6,4,4,3,6,5,2,5,4,3,4,4,"Dolor? Placerat a felis a pellentesque rhoncus, curabitur! Consequat auctor ridiculus amet."
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_b7pVo3eMEEZnDO5,,,,,48.41520691,-123.3655014,test,,4,1,4,5,4,6,3,0,5,3,2,3,6,4,6,4,2,0,0,5,4,1,3,6,4,2,1,3,0,4,6,3,3,2,1,0,0,0,1,5,5,2,6,1,0,2,4,0,5,1,4,4,3,1,1,2,"Curabitur, id porttitor fermentum mattis imperdiet sodales at vitae, pharetra pretium. Morbi cursus pede pretium.",4,2,5,1,4,5,3,0,2,0,0,3,4,1,0,6,5,1,6,4,5,1,4,1,5,6,3,5,3,1,5,4,6,3,6,5,4,6,1,1,4,2,6,4,2,2,0,0,1,2,5,6,5,2,2,1,Eros purus porttitor vel! Faucibus imperdiet praesent amet nunc et ante platea aenean faucibus a.
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_3fmVWpuO0UADHJX,,,,,48.41520691,-123.3655014,test,,1,5,3,1,2,3,3,3,1,2,5,1,0,0,6,3,1,3,2,1,3,4,6,4,6,3,1,0,4,5,1,4,1,1,4,1,5,2,1,1,2,1,4,5,1,5,6,0,3,0,4,0,0,3,0,1,"Potenti. Enim. Pede, consectetuer felis sodales gravida iaculis atque etiam cras. Blandit etiam integer nonummy.",5,1,4,4,1,0,4,0,4,0,3,5,1,6,6,1,2,3,2,6,4,5,5,5,0,3,2,2,3,0,2,6,2,4,3,5,0,6,3,2,5,2,3,2,1,2,2,5,1,2,6,3,4,2,1,1,Placerat potenti convallis nibh fermentum orci aenean placerat. Volutpat? At id venenatis potenti! Proin felis.
2019-07-17 15:19,2019-07-17 15:19,2,,100,0,1,2019-07-17 15:19,R_b78v0h95XWBo1pP,,,,,48.41520691,-123.3655014,test,,0,1,2,4,3,6,0,2,0,6,4,6,4,1,3,2,2,0,0,2,4,6,5,5,2,5,0,6,1,1,3,0,4,3,1,4,3,0,3,1,3,0,1,5,3,5,5,1,3,5,3,6,1,4,1,5,Praesent! Morbi pharetra nonummy! Malesuada dignissim aliquet placerat mattis eget ab? Aenean viverra.,6,1,2,2,1,6,5,0,1,6,6,4,1,5,3,6,2,2,0,0,3,4,3,0,5,2,0,1,2,5,1,0,4,3,0,5,4,1,6,0,5,6,5,4,1,3,3,2,2,1,6,6,5,6,1,4,Pharetra a vehicula pharetra eget iaculis eget porta metus felis et nullam duis arcu.
