StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,MCASS_1,MCASS_2,MCASS_3,MCASS_4,MCASS_5,MCASS_6,MCASS_7,MCASS_8,MCASS_9,MCASS_10,MCASS_11
2017-12-16 17:59,2017-12-16 17:59,1,,100,20,1,2017-12-16 17:59,R_3lKz9e1364Z8w4C,,,,,19.56059265,-155.9622955,preview,EN,1,2,3,4,3,4,1,2,3,4,5
2017-12-16 17:59,2017-12-16 18:00,1,,100,25,1,2017-12-16 18:00,R_1gCJhsPyjpBWSnc,,,,,19.56059265,-155.9622955,preview,EN,1,2,2,3,3,2,3,3,2,4,3
2017-12-16 18:00,2017-12-16 18:01,1,,100,33,1,2017-12-16 18:01,R_rqpsAdZqyYDtMxr,,,,,19.56059265,-155.9622955,preview,EN,1,3,3,3,4,3,3,4,2,3,2
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_enExWPneX9WGuih,,,,,48.4992981,-123.4002991,test,,1,4,3,3,4,5,3,3,4,1,3
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_1Bt03nV4gwA24Dz,,,,,48.4992981,-123.4002991,test,,2,5,1,5,3,4,2,4,4,4,5
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_25XO28NWBORDeHr,,,,,48.4992981,-123.4002991,test,,4,2,5,4,5,5,2,1,4,4,5
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_9TgtzjGmqHRbl5P,,,,,48.4992981,-123.4002991,test,,3,1,4,4,2,2,1,5,5,4,4
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_8IhzGzCFHYjEUKx,,,,,48.4992981,-123.4002991,test,,1,4,1,5,2,4,5,3,2,1,1
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_2ggyL76GK9XiXXv,,,,,48.4992981,-123.4002991,test,,2,3,5,4,2,4,4,4,5,3,5
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_8oaIwSkxeIg8TIh,,,,,48.4992981,-123.4002991,test,,3,2,1,2,1,5,3,4,2,5,1
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_4HH0J7FmXayP5jv,,,,,48.4992981,-123.4002991,test,,5,1,2,4,1,2,2,1,2,5,2
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_24RkyRElvcwFUPz,,,,,48.4992981,-123.4002991,test,,5,1,4,4,3,1,1,5,3,1,1
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_78aexpC4X8scjPf,,,,,48.4992981,-123.4002991,test,,5,5,2,4,5,1,2,4,3,2,3
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_8GODdYNNERAjnJb,,,,,48.4992981,-123.4002991,test,,2,5,5,5,2,3,2,5,3,1,4
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_00UhKWLBvhmfGO9,,,,,48.4992981,-123.4002991,test,,2,3,3,2,5,5,5,1,1,1,2
2019-07-17 16:06,2019-07-17 16:06,2,,100,0,1,2019-07-17 16:06,R_e5NBoN9HJlKTDRr,,,,,48.4992981,-123.4002991,test,,4,4,3,3,3,5,5,3,1,5,1
