StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q7,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q9,Q10,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q15,Q13,Q14
2019-07-10 16:06,2019-07-10 16:06,2,,100,1,1,2019-07-10 16:06,R_aWz91NpHL2eZcvH,,,,,48.44960022,-123.302597,test,,1,3,1,3,3,4,1,3,4,4,2,3,1,4,2,2,1,3,3,2,4,3,1,2,4,Culpa duis! Duis mauris! Ullamcorper auctor nec turpis mattis commodo.,2,2,4,3,2,4,4,3,1,0,3,0,1,1,2,2,2,3,3,1,4,4,1,3,1,1,"Sem, montes et massa. Bibendum, iaculis amet sollicitudin facilisis. Gravida per platea.",2,3,2,3,1,4,3,0,3,2,0,1,2,4,3,1,1,2,3,4,0,1,3,0,4,4,4,1,"Elementum. Elit nec nullam. Ac? Sem egestas? Eros, potenti! Amet.",2
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_6LOaILcOhNY208l,,,,,48.44960022,-123.302597,test,,4,0,0,0,3,3,4,3,2,3,4,4,3,2,0,3,4,3,1,0,1,3,0,1,2,"Pharetra curabitur ultrices porta convallis. Facilisi vehicula venenatis, facilisi eu.",1,4,2,3,2,3,3,2,3,1,4,2,0,0,1,1,2,2,2,1,3,3,2,2,4,2,"Lacus eget tempus, sagittis blandit augue posuere facilisis, rhoncus tempor, aliquam malesuada accumsan urna. Risus.",2,3,3,1,4,4,4,2,4,1,1,0,0,0,4,1,1,0,2,1,3,4,3,2,1,0,4,1,"At fusce! Ut luctus! Vulputate, interdum ridiculus metus sapien consectetuer faucibus tempus dignissim.",2
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_6D7Lwwj3rJwSUBf,,,,,48.44960022,-123.302597,test,,1,0,0,3,0,0,2,3,0,0,1,3,0,2,3,4,1,3,4,2,0,3,0,2,0,"Lorem nullam lacus ut accumsan purus, est potenti! Nulla tempus sem nec.",2,4,2,4,1,1,3,3,2,2,1,1,3,4,3,1,0,4,0,3,1,4,4,1,2,1,Vitae vivamus natoque placerat curabitur ante posuere montes suscipit. Faucibus ligula.,1,2,1,1,4,1,3,0,3,2,1,4,2,3,4,4,1,0,2,0,4,2,2,2,3,3,2,1,Ab massa? Blandit curabitur etiam orci vehicula aliquet ipsum integer.,1
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_0ktTgwsjj7dmUmx,,,,,48.44960022,-123.302597,test,,2,2,2,2,1,1,4,1,4,4,0,1,2,4,1,3,3,1,1,1,0,2,3,3,4,Eleifend nullam nonummy orci aenean viverra! Cras at montes quis natoque dolorem arcu amet fusce.,1,2,3,3,0,2,1,0,2,4,2,4,2,1,4,1,1,0,0,3,1,0,0,3,1,0,In nonummy dolorem accumsan egestas nonummy velit luctus sed auctor consequat ac.,2,1,0,2,1,0,2,3,0,1,0,2,4,2,4,1,1,2,3,2,1,1,1,4,4,4,3,1,"Lacus bibendum arcu vehicula. Praesent purus id diam, culpa neque amet phasellus nullam.",2
2019-07-10 16:06,2019-07-10 16:06,2,,100,1,1,2019-07-10 16:06,R_77CQdgx4rTeGCMJ,,,,,48.44960022,-123.302597,test,,4,2,2,1,2,3,4,0,3,2,4,1,4,1,2,0,3,1,4,4,0,3,0,1,4,"Aenean nibh gravida, vestibulum orci mauris vestibulum sit etiam nec! Consectetuer placerat volutpat.",1,3,2,3,1,3,4,4,3,1,0,3,1,1,0,0,3,0,4,0,4,1,3,4,3,3,Fringilla integer? Augue eleifend tortor temporibus orci luctus auctor leo! Phasellus. Luctus magna.,1,4,4,0,4,4,1,0,1,1,0,2,4,3,2,1,1,0,4,3,0,4,4,0,0,1,2,1,Maecenas! Imperdiet ac rhoncus viverra dictumst sed sagittis? Vestibulum. Cursus ante vivamus.,2
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_3fmeFZlNjHAirfT,,,,,48.44960022,-123.302597,test,,4,2,0,3,1,2,0,3,0,1,2,2,1,0,4,4,0,1,4,4,0,0,2,2,3,"Ligula culpa volutpat cursus ligula laoreet sit suspendisse molestie, sit vehicula. Sapien arcu.",2,3,3,3,2,1,4,0,1,0,0,1,0,1,1,4,3,2,4,4,0,4,0,4,3,2,Eget etiam montes vel mi massa vel ridiculus. Sodales primis! Commodo.,1,2,0,2,2,0,3,0,2,4,0,2,3,1,4,1,1,4,1,0,1,1,3,1,3,0,3,1,Metus convallis nulla. Dictumst praesent ridiculus lacus placerat commodo maecenas nunc augue.,1
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_0NkxLdnb7eI1Xff,,,,,48.44960022,-123.302597,test,,1,2,4,4,3,2,0,3,3,3,1,4,0,4,0,2,4,4,2,4,2,0,4,0,0,"Volutpat magnis, dui vehicula blandit mattis morbi magna montes. Suspendisse enim. Dictumst! Mi.",2,2,1,4,0,2,0,1,4,3,4,4,0,2,3,3,3,4,3,2,0,4,2,3,1,0,Tempor odio porttitor porttitor facilisis nulla vulputate. Vivamus et potenti. Convallis risus porttitor.,1,3,0,2,2,1,0,2,3,2,3,3,3,4,0,1,1,4,2,3,3,3,1,2,3,4,0,1,"Luctus accusamus vestibulum! Molestie enim, rhoncus cras posuere atque ac est sagittis ligula tempora. Vel.",2
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_6f1vjxhugcfkH9H,,,,,48.44960022,-123.302597,test,,1,4,3,4,1,3,0,4,1,3,4,0,1,0,0,1,0,4,2,2,0,0,3,4,4,Neque? Cursus placerat etiam! Elit maecenas pharetra posuere sagittis neque diam nonummy natoque.,1,0,3,2,2,2,0,1,1,0,4,1,3,2,4,2,1,3,4,4,1,2,3,4,2,2,Arcu laoreet cursus primis posuere per felis iaculis bibendum posuere felis atque.,1,3,4,1,4,4,0,0,1,1,1,1,1,1,0,1,1,2,2,1,4,4,4,0,0,2,2,1,"Eros vestibulum pellentesque a duis porta wisi lectus natoque, nullam phasellus mattis ultricies etiam potenti.",2
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_d76kZM77lZ23x4N,,,,,48.44960022,-123.302597,test,,1,0,1,1,2,2,2,0,2,2,0,1,1,0,0,2,1,3,3,3,4,2,0,3,1,Potenti. Molestie lorem vehicula suscipit euismod erat sagittis nibh? Nullam duis purus.,2,0,4,3,1,4,3,4,3,3,0,3,3,3,4,1,0,4,1,0,4,1,2,2,3,4,"Rhoncus magnis at ligula interdum. At tempora turpis, ut tempor.",2,1,1,1,0,0,0,4,3,2,1,3,1,2,1,0,1,3,4,3,3,2,4,4,1,0,2,1,"Dapibus. Pede vehicula mattis fermentum, justo pede, sodales, sed sem tempora aenean molestie magnis.",1
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_8DhkwxXVHlbiPWZ,,,,,48.44960022,-123.302597,test,,1,1,4,3,2,1,2,1,3,0,3,1,0,4,2,4,0,0,4,1,2,1,4,3,1,Rutrum vehicula ante. Augue. Placerat elit fringilla risus suspendisse potenti eget. Ac.,2,3,4,4,1,0,2,2,4,1,3,0,4,2,2,4,4,4,4,4,1,3,2,2,0,2,Bibendum mauris culpa vel. Consectetuer accusamus? Elementum commodo. Commodo! Tempora.,1,0,0,2,0,3,1,1,1,2,0,3,1,4,4,2,1,0,4,1,2,2,3,0,0,1,2,1,Purus a tempus. Metus maecenas urna nec iaculis lorem? Gravida phasellus eleifend bibendum! Pharetra morbi.,2
2019-07-10 16:06,2019-07-10 16:06,2,,100,0,1,2019-07-10 16:06,R_9Rg3HAyfopLQkfP,,,,,48.44960022,-123.302597,test,,4,3,2,0,4,2,4,2,1,4,4,0,2,2,0,1,1,2,4,3,1,4,3,4,2,Mauris. Posuere vehicula. Atque leo tortor ut iaculis. Nulla vehicula donec placerat maecenas enim.,1,0,4,4,0,2,3,1,2,2,0,1,4,4,0,2,0,3,2,3,4,2,4,1,2,0,Morbi eros accumsan. Magnis sagittis consectetuer. Orci sed at ab molestie vulputate montes.,1,0,0,4,3,1,4,4,1,1,3,0,3,3,4,0,1,1,1,1,3,2,4,2,0,3,3,1,"Sagittis aliquam sollicitudin pharetra ullamcorper tortor. Etiam est, lectus mauris mi donec ultricies tempor ut.",2
